iter	Passed	Remaining
0	59	59568
1	60	29948
2	60	20112
3	60	15158
4	61	12185
5	61	10223
6	62	8803
7	62	7731
8	62	6899
9	62	6233
10	63	5689
11	63	5235
12	63	4850
13	64	4519
14	64	4236
15	64	3985
16	65	3765
17	65	3571
18	65	3395
19	66	3237
20	66	3096
21	66	2965
22	66	2845
23	67	2737
24	67	2636
25	67	2543
26	68	2457
27	68	2375
28	68	2299
29	69	2233
30	69	2171
31	69	2112
32	70	2054
33	70	2000
34	70	1949
35	71	1901
36	71	1857
37	71	1814
38	71	1772
39	72	1733
40	72	1696
41	72	1660
42	73	1626
43	73	1594
44	73	1562
45	73	1533
46	74	1505
47	74	1478
48	74	1452
49	75	1428
50	75	1407
51	76	1387
52	76	1363
53	76	1341
54	76	1321
55	77	1301
56	77	1282
57	77	1264
58	78	1245
59	78	1227
60	78	1210
61	78	1194
62	79	1179
63	79	1165
64	80	1151
65	80	1136
66	80	1122
67	80	1108
68	81	1095
69	81	1082
70	81	1069
71	81	1056
72	82	1044
73	82	1033
74	82	1022
75	83	1010
76	83	999
77	83	989
78	83	978
79	84	968
80	84	959
81	84	949
82	84	938
83	85	928
84	85	919
85	85	911
86	86	902
87	86	894
88	86	886
89	86	878
90	87	870
91	87	862
92	87	854
93	87	847
94	88	839
95	88	832
96	88	825
97	88	818
98	89	812
99	89	806
100	89	799
101	90	794
102	90	788
103	91	784
104	91	780
105	91	774
106	92	768
107	92	762
108	92	757
109	92	752
110	93	747
111	93	742
112	93	737
113	94	731
114	94	726
115	94	721
116	94	716
117	95	711
118	95	706
119	95	702
120	95	697
121	96	692
122	96	687
123	96	683
124	97	679
125	97	676
126	97	671
127	98	668
128	98	664
129	98	660
130	98	656
131	99	653
132	99	648
133	99	645
134	100	641
135	100	637
136	100	633
137	100	630
138	101	626
139	101	623
140	101	619
141	101	615
142	102	612
143	102	608
144	102	605
145	103	602
146	103	599
147	103	596
148	103	592
149	104	589
150	104	586
151	104	583
152	104	580
153	105	578
154	105	575
155	105	572
156	106	569
157	106	566
158	106	563
159	106	561
160	107	557
161	107	554
162	107	552
163	107	549
164	108	546
165	108	544
166	108	541
167	108	538
168	109	536
169	109	534
170	109	531
171	109	529
172	110	526
173	110	524
174	110	521
175	110	519
176	111	517
177	111	515
178	111	512
179	112	510
180	112	508
181	112	506
182	112	503
183	113	501
184	113	499
185	113	497
186	113	495
187	114	492
188	114	490
189	114	488
190	114	486
191	114	483
192	115	481
193	115	479
194	115	477
195	115	475
196	116	473
197	116	471
198	116	469
199	116	466
200	116	464
201	117	462
202	117	460
203	117	458
204	117	457
205	118	455
206	118	453
207	118	451
208	118	449
209	118	447
210	119	445
211	119	443
212	119	441
213	119	440
214	120	438
215	120	436
216	120	434
217	120	432
218	120	431
219	121	429
220	124	437
221	124	437
222	125	437
223	125	436
224	126	436
225	128	438
226	128	437
227	128	435
228	129	434
229	129	432
230	129	431
231	129	429
232	129	427
233	130	426
234	130	424
235	130	423
236	131	421
237	131	420
238	131	419
239	131	417
240	132	416
241	132	414
242	132	413
243	132	411
244	133	410
245	133	408
246	133	407
247	133	406
248	134	404
249	134	403
250	134	401
251	134	400
252	135	398
253	135	397
254	135	396
255	135	395
256	136	393
257	136	393
258	136	391
259	137	390
260	137	389
261	137	387
262	137	386
263	138	385
264	138	383
265	138	382
266	138	381
267	139	380
268	139	378
269	139	377
270	139	376
271	140	374
272	140	373
273	140	372
274	140	371
275	141	369
276	141	368
277	141	367
278	141	366
279	142	365
280	142	364
281	142	363
282	142	361
283	143	360
284	143	359
285	143	358
286	143	357
287	143	355
288	144	354
289	144	353
290	144	352
291	144	351
292	145	350
293	145	349
294	145	347
295	145	347
296	146	345
297	146	344
298	146	343
299	146	342
300	147	341
301	147	340
302	147	339
303	147	338
304	148	337
305	148	336
306	148	335
307	148	334
308	149	333
309	149	332
310	149	331
311	149	330
312	150	329
313	150	328
314	150	327
315	150	326
316	150	325
317	151	324
318	151	323
319	151	322
320	152	321
321	152	320
322	152	319
323	152	318
324	153	317
325	153	317
326	153	316
327	153	315
328	154	314
329	154	313
330	154	312
331	154	311
332	155	310
333	155	309
334	155	309
335	155	308
336	156	307
337	156	306
338	156	305
339	157	304
340	157	303
341	157	303
342	157	302
343	158	301
344	158	301
345	158	300
346	159	299
347	159	298
348	159	297
349	159	296
350	160	295
351	160	295
352	160	294
353	160	293
354	161	292
355	161	291
356	161	291
357	161	290
358	162	289
359	162	288
360	162	287
361	162	287
362	163	286
363	163	285
364	163	284
365	163	283
366	164	283
367	164	282
368	164	281
369	164	280
370	165	279
371	165	279
372	165	278
373	165	277
374	166	277
375	166	276
376	166	275
377	167	274
378	167	274
379	167	273
380	168	273
381	168	272
382	168	271
383	168	270
384	169	270
385	169	269
386	169	268
387	169	267
388	170	267
389	170	266
390	170	265
391	170	265
392	171	264
393	171	263
394	171	262
395	172	262
396	172	261
397	172	261
398	172	260
399	173	259
400	173	258
401	173	258
402	173	257
403	174	256
404	174	256
405	174	255
406	175	255
407	175	254
408	175	253
409	175	252
410	176	252
411	176	251
412	176	250
413	176	250
414	177	249
415	177	249
416	177	248
417	178	248
418	178	247
419	178	246
420	178	246
421	179	245
422	179	244
423	179	244
424	180	243
425	180	242
426	180	242
427	180	241
428	181	241
429	181	240
430	181	239
431	181	239
432	182	238
433	182	238
434	182	237
435	183	237
436	183	236
437	183	235
438	184	235
439	184	234
440	184	234
441	184	233
442	185	232
443	185	232
444	185	231
445	186	231
446	186	230
447	186	229
448	186	229
449	187	228
450	187	228
451	187	227
452	187	226
453	188	226
454	188	225
455	188	225
456	189	224
457	189	224
458	189	223
459	189	222
460	190	222
461	190	221
462	190	221
463	191	220
464	191	220
465	191	219
466	192	219
467	192	218
468	192	218
469	192	217
470	193	216
471	193	216
472	193	215
473	193	215
474	194	214
475	194	214
476	194	213
477	195	212
478	195	212
479	195	212
480	196	211
481	196	211
482	196	210
483	196	209
484	197	209
485	197	208
486	197	208
487	198	207
488	198	207
489	198	207
490	199	206
491	199	206
492	199	205
493	200	204
494	200	204
495	200	203
496	200	203
497	201	202
498	201	202
499	201	201
500	201	201
501	202	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	203	196
509	204	196
510	204	195
511	204	195
512	205	194
513	205	194
514	205	193
515	206	193
516	206	192
517	206	192
518	206	191
519	207	191
520	207	190
521	207	190
522	207	189
523	208	189
524	208	188
525	208	188
526	208	187
527	209	186
528	209	186
529	209	186
530	210	185
531	210	184
532	210	184
533	210	183
534	211	183
535	211	182
536	211	182
537	211	181
538	212	181
539	212	180
540	212	180
541	212	179
542	213	179
543	213	179
544	213	178
545	214	178
546	214	177
547	214	177
548	215	176
549	215	176
550	215	175
551	216	175
552	216	175
553	216	174
554	217	174
555	217	173
556	217	173
557	217	172
558	218	172
559	218	171
560	218	171
561	219	170
562	219	170
563	219	169
564	220	169
565	220	169
566	220	168
567	221	168
568	221	167
569	221	167
570	222	166
571	222	166
572	222	166
573	223	165
574	223	165
575	223	164
576	224	164
577	224	163
578	224	163
579	224	162
580	225	162
581	225	162
582	225	161
583	226	161
584	226	160
585	226	160
586	227	159
587	227	159
588	227	159
589	228	158
590	228	158
591	229	157
592	229	157
593	229	157
594	230	156
595	230	156
596	230	155
597	231	155
598	231	154
599	231	154
600	232	154
601	232	153
602	232	153
603	233	152
604	233	152
605	233	152
606	234	151
607	234	151
608	234	150
609	235	150
610	235	149
611	235	149
612	236	149
613	236	148
614	236	148
615	237	147
616	237	147
617	237	146
618	238	146
619	238	146
620	238	145
621	239	145
622	239	144
623	239	144
624	240	144
625	240	143
626	240	143
627	240	142
628	241	142
629	241	141
630	241	141
631	242	141
632	242	140
633	242	140
634	243	139
635	243	139
636	243	139
637	244	138
638	244	138
639	245	137
640	245	137
641	245	137
642	246	136
643	246	136
644	246	135
645	247	135
646	247	134
647	247	134
648	247	134
649	248	133
650	248	133
651	248	132
652	249	132
653	249	132
654	249	131
655	250	131
656	250	130
657	250	130
658	250	129
659	251	129
