iter	Passed	Remaining
0	61	61465
1	61	30866
2	62	20665
3	62	15567
4	62	12502
5	63	10463
6	63	9011
7	63	7913
8	64	7061
9	64	6378
10	64	5823
11	65	5358
12	65	4964
13	65	4627
14	66	4335
15	66	4078
16	66	3851
17	66	3648
18	67	3468
19	67	3306
20	67	3157
21	68	3023
22	68	2901
23	68	2788
24	68	2686
25	69	2591
26	69	2502
27	69	2420
28	70	2344
29	70	2273
30	70	2205
31	70	2142
32	71	2083
33	71	2027
34	71	1975
35	71	1925
36	72	1879
37	72	1835
38	72	1792
39	73	1752
40	73	1714
41	73	1678
42	73	1644
43	74	1611
44	74	1579
45	74	1549
46	74	1519
47	75	1491
48	75	1464
49	75	1439
50	76	1414
51	76	1390
52	76	1367
53	76	1344
54	77	1324
55	77	1303
56	77	1284
57	77	1264
58	78	1247
59	78	1229
60	78	1212
61	79	1195
62	79	1179
63	79	1163
64	79	1149
65	80	1134
66	80	1120
67	80	1103
68	80	1090
69	81	1077
70	81	1064
71	81	1051
72	81	1039
73	82	1027
74	82	1015
75	82	1004
76	82	993
77	83	983
78	83	972
79	83	962
80	83	952
81	84	942
82	84	933
83	84	923
84	84	913
85	85	904
86	85	893
87	85	885
88	85	877
89	85	869
90	86	861
91	86	853
92	86	845
93	86	838
94	87	830
95	87	824
96	87	816
97	88	810
98	88	803
99	88	796
100	88	790
101	88	782
102	89	776
103	89	770
104	89	764
105	89	758
106	90	752
107	90	746
108	90	741
109	90	735
110	91	730
111	91	725
112	91	720
113	92	715
114	92	710
115	92	704
116	92	699
117	92	694
118	93	689
119	93	684
120	93	680
121	93	675
122	94	670
123	94	665
124	94	661
125	94	657
126	95	653
127	95	647
128	95	643
129	95	639
130	95	636
131	96	632
132	96	628
133	96	624
134	96	620
135	97	617
136	97	613
137	97	609
138	97	605
139	98	602
140	98	598
141	98	595
142	98	592
143	99	588
144	99	585
145	99	582
146	99	579
147	100	575
148	100	573
149	100	570
150	100	567
151	101	564
152	101	561
153	101	558
154	102	556
155	102	553
156	102	550
157	102	547
158	103	545
159	103	542
160	103	540
161	103	537
162	104	534
163	104	532
164	104	530
165	104	527
166	105	525
167	105	522
168	105	519
169	105	517
170	106	514
171	106	512
172	106	510
173	107	508
174	107	505
175	107	503
176	107	501
177	108	499
178	108	497
179	108	496
180	109	493
181	109	491
182	109	489
183	109	487
184	110	485
185	110	482
186	110	480
187	110	478
188	111	476
189	111	474
190	111	472
191	111	470
192	112	468
193	112	466
194	112	465
195	112	463
196	113	461
197	113	459
198	113	457
199	113	455
200	114	453
201	114	452
202	114	450
203	114	448
204	115	446
205	115	445
206	115	443
207	115	441
208	116	439
209	116	438
210	116	436
211	117	434
212	117	433
213	117	431
214	117	429
215	117	428
216	118	426
217	118	425
218	118	423
219	119	422
220	119	420
221	119	418
222	119	417
223	120	415
224	120	414
225	120	412
226	120	411
227	121	409
228	121	408
229	121	406
230	121	405
231	122	404
232	122	402
233	122	401
234	122	399
235	123	398
236	123	396
237	123	395
238	123	394
239	124	392
240	124	391
241	124	390
242	125	389
243	125	388
244	125	387
245	125	386
246	126	385
247	126	384
248	126	383
249	127	381
250	127	380
251	127	379
252	128	378
253	128	376
254	128	375
255	128	374
256	129	373
257	129	372
258	129	370
259	129	369
260	130	368
261	130	367
262	130	366
263	130	365
264	131	363
265	131	362
266	131	361
267	131	360
268	132	359
269	132	358
270	132	357
271	132	355
272	133	354
273	133	353
274	133	352
275	133	351
276	134	350
277	134	349
278	134	348
279	135	347
280	135	346
281	135	344
282	135	343
283	135	342
284	136	341
285	136	340
286	136	339
287	137	338
288	137	337
289	137	336
290	137	335
291	138	334
292	138	333
293	138	332
294	138	331
295	139	330
296	139	329
297	139	328
298	139	327
299	140	326
300	140	325
301	140	324
302	140	323
303	141	322
304	141	321
305	141	320
306	141	320
307	142	319
308	142	318
309	142	317
310	142	316
311	143	315
312	143	314
313	143	313
314	143	312
315	144	311
316	144	310
317	144	309
318	144	309
319	145	308
320	145	307
321	145	306
322	145	305
323	146	304
324	146	303
325	146	302
326	146	302
327	147	301
328	147	300
329	147	299
330	147	299
331	148	298
332	148	297
333	148	296
334	148	295
335	149	294
336	149	293
337	149	293
338	149	292
